initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_intro_loop.thisRepN,practice_intro_loop.thisTrialN,practice_intro_loop.thisN,practice_intro_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,intro_mouse.x,intro_mouse.y,intro_mouse.leftButton,intro_mouse.midButton,intro_mouse.rightButton,intro_mouse.clicked_name,username_resp.keys,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,other_avatar,other_introduction_text_2.started,participant_avatar_other_intro_2.started,other_avatar_other_intro_2.started,continue_other_intro_text_2.started,other_intro_mouse_2.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,trial_outcome_choice_text.started,outcome_p_points_text.started,outcome_other_points_text.started,other_choice_text.started,trial_outcome_continue_text.started,trial_outcome_continue_mouse.started,participant_avatar_trial_outcome.started,other_avatar_trial_outcome.started,p_trial_outcome_total.started,o_trial_outcome_total.started,participant_avatar_outcome_scoreboard.started,other_avatar_trial_outcome_scoreboard.started,participant_trial_outcome_scoreboard_name.started,other_trial_outcome_scoreboard_name.started,total_points_scoreboard.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,C,-0.0140625,-0.8025,1,0,0,continue_intro_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0140625,-0.8025,1,0,0,continue_name_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.01875,-0.5925,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
Defect,Jo,34,34,0,51,51,0,17,17,,,,,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,avatar1.png,17.745240250020288,17.745240250020288,17.745240250020288,17.745240250020288,0.04754200001480058,Cooperate,Defect,Cooperate,Defect,0,51,0,51,-0.128125,-0.67,1,0,0,left_choice,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,0.05790541600435972,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,24.40721933398163,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
Defect,Jo,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,14,14,14,65,0.2265625,-0.64,1,0,0,right_choice,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,0.04346816602628678,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,30.709032833983656,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
Defect,Jo,2,2,0,3,3,0,1,1,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,2,2,16,67,-0.165625,-0.745,1,0,0,left_choice,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,0.039632625004742295,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,34.65516258397838,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
Defect,Jo,54,54,0,81,81,0,27,27,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,54,54,70,121,-0.1328125,-0.7325,1,0,0,left_choice,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,0.03808949998347089,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,36.44341025000904,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
Defect,Jo,100,100,0,150,150,0,50,50,,,,,0,0,0,0,0,4,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,100,100,170,221,0.2203125,-0.67,1,0,0,right_choice,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,0.03772075002780184,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,38.13595616701059,,2022-09-18_19h47.55.882,PD,2022.2.4,None,
