tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_intro_loop.thisRepN,practice_intro_loop.thisTrialN,practice_intro_loop.thisN,practice_intro_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,intro_key.started,intro_mouse.x,intro_mouse.y,intro_mouse.leftButton,intro_mouse.midButton,intro_mouse.rightButton,intro_mouse.clicked_name,intro_key.keys,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,intro2_key.started,intro2_key.keys,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,points_tl_p_intro.started,points_tl_o_intro.started,points_bl_p_intro.started,points_bl_o_intro.started,points_tr_p_intro.started,points_tr_o_intro.started,points_br_p_intro.started,points_br_o_intro.started,practice_topright_header_3.started,practice_bottomtop_header_3.started,practice_participant_header_3.started,practice_other_header_3.started,practice_avatar_trial_3.started,practice_bottombottom_header_3.started,practice_topleft_header_3.started,practice_example_text_3.started,intro_cont.started,practice_trial_intro1_mouse.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,points_tl_p_intro_2.started,points_tl_o_intro_2.started,points_bl_p_intro_2.started,points_bl_o_intro_2.started,points_tr_p_intro_2.started,points_tr_o_intro_2.started,points_br_p_intro_2.started,points_br_o_intro_2.started,practice_topright_header_2.started,practice_bottomtop_header_2.started,practice_participant_header_2.started,practice_other_header_2.started,practice_avatar_trial_2.started,practice_bottombottom_header_2.started,practice_topleft_header_2.started,practice_example_text_2.started,intro_cont_2.started,practice_trial_intro2_mouse.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_topright_header_4.started,practice_bottomtop_header_4.started,practice_participant_header_4.started,practice_other_header_4.started,practice_avatar_trial_4.started,practice_bottombottom_header_4.started,practice_topleft_header_4.started,practice_example_text_4.started,intro_cont_3.started,practice_trial_intro1_mouse_2.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_topright_header_5.started,practice_bottomtop_header_5.started,practice_participant_header_5.started,practice_other_header_5.started,practice_avatar_trial_5.started,practice_bottombottom_header_5.started,practice_topleft_header_5.started,practice_example_text_5.started,intro_cont_4.started,practice_trial_intro1_mouse_3.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_topright_header_6.started,practice_bottomtop_header_6.started,practice_participant_header_6.started,practice_other_header_6.started,practice_avatar_trial_6.started,practice_bottombottom_header_6.started,practice_topleft_header_6.started,practice_example_text_6.started,intro_cont_5.started,practice_trial_intro1_mouse_4.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_topright_header_7.started,practice_bottomtop_header_7.started,practice_participant_header_7.started,practice_other_header_7.started,practice_avatar_trial_7.started,practice_bottombottom_header_7.started,practice_topleft_header_7.started,practice_example_text_7.started,intro_cont_6.started,practice_trial_intro1_mouse_5.started,practice_top_left_8.started,practice_top_right_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_topright_header_8.started,practice_bottomtop_header_8.started,practice_participant_header_8.started,practice_other_header_8.started,practice_avatar_trial_8.started,practice_bottombottom_header_8.started,practice_topleft_header_8.started,practice_example_text_8.started,intro_cont_7.started,practice_trial_intro1_mouse_6.started,other_avatar,other_introduction_text_2.started,participant_avatar_other_intro_2.started,other_avatar_other_intro_2.started,continue_other_intro_text_2.started,other_intro_mouse_2.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,trial_outcome_choice_text.started,outcome_p_points_text.started,outcome_other_points_text.started,other_choice_text.started,trial_outcome_continue_text.started,trial_outcome_continue_mouse.started,participant_avatar_trial_outcome.started,other_avatar_trial_outcome.started,p_trial_outcome_total.started,o_trial_outcome_total.started,participant_avatar_outcome_scoreboard.started,other_avatar_trial_outcome_scoreboard.started,participant_trial_outcome_scoreboard_name.started,other_trial_outcome_scoreboard_name.started,total_points_scoreboard.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,20.10194349999074,-0.0375,-0.8074074074074075,1,0,0,continue_intro_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.694371899939142,Felix,-0.05416666666666667,-0.8074074074074075,1,0,0,continue_name_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.03854166666666667,-0.4388888888888889,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.96616079995874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
1,1,0,1.5,1.5,0,0.5,0.5,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,41.38441129995044,0.1414401000365615,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,48.30796529992949,0.06207930005621165,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,48.97893759992439,0.025587000069208443,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,49.7117697999347,0.03540599998086691,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,50.27104819996748,0.025616099941544235,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,50.80468189995736,0.031313000014051795,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,51.373502599890344,0.03778849996160716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,Cooperate,Alex,40,40,0,60,60,0,20,20,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar2.png,52.682561699999496,52.682561699999496,52.682561699999496,52.682561699999496,0.08031400002073497,Cooperate,Defect,Defect,Cooperate,60,0,60,0,0.165625,-0.6703703703703704,1,0,0,right_choice,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,0.14789550006389618,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,74.99851609999314,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,Cooperate,Alex,20,20,0,30,30,0,10,10,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,10,10,70,10,0.19895833333333332,-0.6962962962962963,1,0,0,right_choice,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,0.10261609998997301,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,87.57789580000099,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
,,,,,,,,Cooperate,Alex,30,30,0,45,45,0,15,15,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Defect,0,45,70,55,0.14375,-0.6981481481481482,1,0,0,right_choice,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,0.1042124000377953,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,90.5279281999683,,2022-10-02_02h04.10.664,PD,2022.2.4,60.01028574349167,
