tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,other_avatar,other_introduction_text_2.started,participant_avatar_other_intro_2.started,other_avatar_other_intro_2.started,continue_other_intro_text_2.started,other_intro_mouse_2.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,trial_outcome_choice_text.started,outcome_p_points_text.started,outcome_other_points_text.started,other_choice_text.started,trial_outcome_continue_text.started,trial_outcome_continue_mouse.started,participant_avatar_trial_outcome.started,other_avatar_trial_outcome.started,p_trial_outcome_total.started,o_trial_outcome_total.started,participant_avatar_outcome_scoreboard.started,other_avatar_trial_outcome_scoreboard.started,participant_trial_outcome_scoreboard_name.started,other_trial_outcome_scoreboard_name.started,total_points_scoreboard.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,-0.09895833333333333,-0.7796296296296297,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.272402600036003,29.272402600036003,Felix,-0.065625,-0.7981481481481482,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1,-0.37083333333333335,0.37962962962962965,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
1,1,0,1.5,1.5,0,0.5,0.5,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,35.64624869998079,0.054975599981844425,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,38.67942860000767,0.03820640000049025,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,41.06432520004455,0.01204239996150136,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,42.496443500043824,0.0116586999502033,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,43.46392480004579,0.01285160006955266,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,44.22957760002464,0.011761499918065965,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,45.113701900001615,0.01189129997510463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,Defect,Jo,2,2,0,3,3,0,1,1,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5.png,47.67250470002182,47.67250470002182,47.67250470002182,47.67250470002182,0.06015070003923029,Defect,Cooperate,Cooperate,Defect,0,3,0,3,0.21354166666666666,-0.7814814814814814,1,0,0,right_choice,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,0.12244309997186065,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,58.71664930006955,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,Defect,Jo,70,70,0,105,105,0,35,35,,,,,0,0,0,0,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,70,70,70,73,0.10416666666666667,-0.7796296296296297,1,0,0,right_choice,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,0.06448910001199692,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,61.79785360000096,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,Defect,Jo,12,12,0,18,18,0,6,6,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,12,12,82,85,0.08229166666666667,-0.7203703703703703,1,0,0,right_choice,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,0.05507390003185719,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,63.33867189998273,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,Defect,Jo,100,100,0,150,150,0,50,50,,,,,0,0,0,0,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,100,100,182,185,0.134375,-0.6092592592592593,1,0,0,right_choice,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,0.05279410001821816,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,64.73507850000169,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
,,,,,,,,Defect,Jo,8,8,0,12,12,0,4,4,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,12,0,194,185,0.20416666666666666,-0.5777777777777777,1,0,0,right_choice,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,0.05971220007631928,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,66.14291380008217,,2022-10-02_03h37.27.315,PD,2022.2.4,59.97343176291655,
