tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,-0.11666666666666667,-0.7870370370370371,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.13253619999978,48.13253619999978,Felix,-0.07708333333333334,-0.8074074074074075,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1,-0.409375,0.387037037037037,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
1,1,0,1.5,1.5,0,0.5,0.5,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,54.036073499999475,0.13060399999994843,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,55.000411999999415,0.054075099999863596,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,56.95683479999934,0.05554019999999582,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,58.27316299999984,0.05487470000025496,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,59.046599100000094,0.05320510000001377,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,59.62044109999988,0.06040690000008908,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,60.181343999999626,0.054638799999338516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,Cooperate,Jo,88,88,0,132,132,0,44,44,,,,,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar3.png,62.13474999999926,62.13474999999926,62.13474999999926,62.13474999999926,0.0811639000003197,Cooperate,Defect,Cooperate,Cooperate,88,88,88,88,-0.11354166666666667,-0.6777777777777778,1,0,0,left_choice,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,65.39008019999983,0.12234790000002249,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,Cooperate,Jo,56,56,0,84,84,0,28,28,,,,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,56,56,144,144,0.16354166666666667,-0.6666666666666666,1,0,0,right_choice,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,68.88675329999933,0.07822540000051958,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,Cooperate,Jo,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,14,14,158,158,0.14895833333333333,-0.6574074074074074,1,0,0,right_choice,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,70.32098889999997,0.06515690000014729,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,Cooperate,Jo,26,26,0,39,39,0,13,13,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,39,0,197,158,-0.11666666666666667,-0.6925925925925925,1,0,0,left_choice,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,73.71376419999979,0.06968490000053862,,2022-10-02_16h38.06.216,PD,2022.2.4,60.02941441308369,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,105,197,263,-0.08229166666666667,-0.674074074074074,1,0,0,left_choice,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,76.69243000000006,0.07035369999994145,,,,,,
