tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,p_total_text.started,o_total_text.started,participant_avatar_scoreboard.started,p_name_text.started,o_name_text.started,other_avatar_scoreboard.started,name_header.started,total_point_header.started,scoreboard_cont_text.started,scoreabord_mouse.started,scoreboard_intro_text.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,-0.07604166666666666,-0.8333333333333334,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.81598759999997,17.81598759999997,,-0.07604166666666666,-0.8333333333333334,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.026041666666666668,-0.6148148148148148,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
1,1,0,1.5,1.5,0,0.5,0.5,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,21.309148500000447,0.09295000000020082,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,22.622497199999998,0.04973049999989598,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,34.10252190000028,0.06927030000042578,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,38.52239860000009,0.05670710000049439,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,39.65030200000001,0.04843020000043907,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,40.682421200000135,0.052782099999603815,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,42.48902840000028,0.05135820000032254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,Defect,Jo,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar6.png,47.86630359999981,47.86630359999981,47.86630359999981,47.86630359999981,0.06818529999964085,Cooperate,Defect,Defect,Defect,7,7,7,7,0.18125,-0.6759259259259259,1,0,0,right_choice,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,58.68888370000059,0.10558490000039455,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,Defect,Jo,56,56,0,84,84,0,28,28,,,,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,84,7,91,-0.08645833333333333,-0.7592592592592593,1,0,0,left_choice,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,62.65637940000033,0.07346899999993184,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,Defect,Jo,16,16,0,24,24,0,8,8,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,16,16,23,107,-0.165625,-0.7481481481481481,1,0,0,left_choice,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,64.31626090000009,0.07102870000016992,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,Defect,Jo,84,84,0,126,126,0,42,42,,,,,0,0,0,0,0,3,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,84,84,107,191,-0.13229166666666667,-0.6907407407407408,1,0,0,left_choice,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,65.46474810000018,0.04903360000025714,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
,,,,,,,,Defect,Jo,40,40,0,60,60,0,20,20,,,,,0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,40,40,147,231,-0.10208333333333333,-0.7111111111111111,1,0,0,left_choice,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,66.53802420000011,0.05983509999987291,,,,,,,,,,,,,2022-10-02_17h02.58.680,PD,2022.2.4,60.01273470244501,
