tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,p_total_text.started,o_total_text.started,participant_avatar_scoreboard.started,p_name_text.started,o_name_text.started,other_avatar_scoreboard.started,name_header.started,total_point_header.started,scoreboard_cont_text.started,scoreabord_mouse.started,scoreboard_intro_text.started,end_routine_text.started,end_routine_continue_text.started,end_routine_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,-0.057291666666666664,-0.7759259259259259,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.733112700000675,21.733112700000675,Felix,-0.05,-0.8018518518518518,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar4,-0.4479166666666667,-0.3296296296296296,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
1,1,0,1.5,1.5,0,0.5,0.5,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,30.2365920000002,0.12014150000049995,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,33.07061750000048,0.05616479999935109,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,34.024137500000506,0.054190299999390845,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,35.003963699999986,0.05153189999964525,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,35.70098300000063,0.07383689999915077,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,39.53871420000087,0.06207220000032976,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,48.22740920000069,0.0750302999995256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,Cooperate,Alex,46,46,0,69,69,0,23,23,,,,,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1.png,49.86464050000086,49.86464050000086,49.86464050000086,49.86464050000086,0.07356350000009115,Defect,Cooperate,Cooperate,Cooperate,46,46,46,46,0.1625,-0.7777777777777778,1,0,0,right_choice,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,56.72290530000009,0.1347578999993857,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,Cooperate,Alex,2,2,0,3,3,0,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,2,2,48,48,-0.15729166666666666,-0.75,1,0,0,left_choice,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,59.182026500000575,0.14450759999999718,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,Cooperate,Alex,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,21,0,69,48,0.184375,-0.5962962962962963,1,0,0,right_choice,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,61.48433550000027,0.12929600000006758,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,Cooperate,Alex,54,54,0,81,81,0,27,27,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,27,27,96,75,0.175,-0.6166666666666667,1,0,0,right_choice,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,65.6490016000007,0.0910690999999133,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
,,,,,,,,Cooperate,Alex,70,70,0,105,105,0,35,35,,,,,0,0,0,0,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Defect,0,105,96,180,0.08333333333333333,-0.7388888888888889,1,0,0,right_choice,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,67.2601123000004,0.13067320000027394,,,,,,,,,,,,,,,,2022-10-02_17h10.12.155,PD,2022.2.4,59.896881528454415,
