tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,mult,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,mult_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,-0.040625,-0.812962962962963,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.06033070000194,20.06033070000194,Felix,-0.06979166666666667,-0.7851851851851852,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1,-0.3729166666666667,0.2611111111111111,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,27.58445810000194,0.13072420000025886,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,28.88647779999883,0.05276159999993979,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,29.851249100000132,0.05263360000026296,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,30.634713899999042,0.056631599996762816,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,31.130872900001123,0.05685829999856651,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,31.712920300000405,0.056370000002061715,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,32.71466390000205,0.07512420000057318,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,35.095920200001274,0.08280029999878025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,Defect,Alex,64,64,0,96,96,0,32,32,2,,,,,0,0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar3.png,40.8469823000014,40.8469823000014,40.8469823000014,40.8469823000014,0.11852210000142804,Defect,Cooperate,Defect,Defect,32,32,32,-0.221875,-0.7574074074074074,1,0,0,left_choice,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,44.253103300001385,"No
32","Yes
32x2",Y,64,64,0.15625,-0.3925925925925926,1,0,0,mult_right,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,52.557056500001636,0.17381790000217734,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,Defect,Alex,20,20,0,30,30,0,10,10,2,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,10,10,42,-0.1625,-0.7407407407407407,1,0,0,left_choice,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,63.63921549999941,"No
10","Yes
10x2",Y,18.0,82.0,0.134375,-0.3388888888888889,1,0,0,mult_right,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,66.72259490000215,0.12345640000057756,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,Defect,Alex,82,82,0,123,123,0,41,41,2,,,,,0,0,0,0,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,41,41,83,-0.15416666666666667,-0.7777777777777778,1,0,0,left_choice,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,86.09025620000102,"Yes
41x2","No
41",Y,73.8,155.8,-0.1125,-0.4074074074074074,1,0,0,mult_left,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,91.42437820000123,0.10708310000336496,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,Defect,Alex,68,68,0,102,102,0,34,34,2,,,,,0,0,0,0,0,3,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,34,34,117,-0.10208333333333333,-0.6518518518518519,1,0,0,left_choice,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,104.91385690000243,"Yes
34x2","No
34",Y,61.2,217.0,-0.10729166666666666,-0.32407407407407407,1,0,0,mult_left,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,113.4087385999992,0.12282120000236318,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
,,,,,,,,,Defect,Alex,54,54,0,81,81,0,27,27,2,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,27,27,144,-0.140625,-0.762962962962963,1,0,0,left_choice,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,119.97798189999958,"No
27","Yes
27x2",Y,48.6,265.6,0.15833333333333333,-0.34629629629629627,1,0,0,mult_right,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,123.61885959999927,0.0958466000010958,,2022-10-02_20h48.45.343,PD,2022.2.4,60.00783702468405,
