tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,mult_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,-0.06979166666666667,-0.8074074074074075,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.46200300000055,17.46200300000055,Felix,-0.06979166666666667,-0.8074074074074075,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.04895833333333333,-0.5611111111111111,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,22.516142799999216,0.0913442999990366,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,25.21919590000107,0.05762909999975818,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,25.582698999998684,0.05197939999925438,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,25.726657899998827,0.042688099998485995,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,25.994626399999106,0.03882100000191713,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,26.36963100000139,0.041122999999060994,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,27.359659900001134,0.04530650000015157,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,27.889575599998352,0.05952410000099917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,Defect,Jo,82,82,0,123,123,0,41,41,,,,,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar3.png,28.935874499999045,28.935874499999045,28.935874499999045,28.935874499999045,0.06192560000272351,Defect,Cooperate,Defect,Defect,41,41,41,-0.14270833333333333,-0.7555555555555555,1,0,0,left_choice,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,32.68667590000041,"No
41","Yes
41x2",Y,82,82,0.16770833333333332,-0.4648148148148148,1,0,0,mult_right,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,38.118663400000514,0.13996149999729823,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,Defect,Jo,44,44,0,66,66,0,22,22,,,,,0,0,0,0,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,22,22,63,-0.10729166666666666,-0.7555555555555555,1,0,0,left_choice,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,42.577560199999425,"No
22","Yes
22x1.8",Y,39.6,121.6,0.10520833333333333,-0.45555555555555555,1,0,0,mult_right,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,49.6044006000011,0.07703570000012405,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,Defect,Jo,56,56,0,84,84,0,28,28,,,,,0,0,0,0,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,28,28,91,0.12291666666666666,-0.7444444444444445,1,0,0,right_choice,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,72.1020333000015,"Yes
28x1.6","No
28",Y,44.800000000000004,166.4,-0.12291666666666666,-0.40555555555555556,1,0,0,mult_left,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,87.46490030000132,0.08644210000056773,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,Defect,Jo,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,7,7,98,-0.190625,-0.75,1,0,0,left_choice,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,95.3002783999982,"No
7","Yes
7x1.4000000000000001",Y,9.8,176.20000000000002,0.13333333333333333,-0.31851851851851853,1,0,0,mult_right,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,100.8518839999997,0.08501189999878989,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
,,,,,,,,,Defect,Jo,84,84,0,126,126,0,42,42,,,,,0,0,0,0,0,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,42,42,140,0.10729166666666666,-0.7203703703703703,1,0,0,right_choice,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,105.3971617999996,"No
42","Yes
42x1.2000000000000002",Y,50.400000000000006,226.60000000000002,0.115625,-0.36666666666666664,1,0,0,mult_right,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,106.68127090000053,0.08469289999993634,,2022-10-02_21h04.54.149,PD,2022.2.4,59.92031796044683,
