tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,mult_mouse.clicked_name,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,-0.09479166666666666,-0.7777777777777778,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.20203359995503,36.20203359995503,Felix,-0.08645833333333333,-0.8018518518518518,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,0.009375,-0.2518518518518518,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,61.8050443000393,0.09203229995910078,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,75.73805080004968,0.04903359990566969,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,80.42093120003119,0.07210220000706613,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,82.43625290005002,0.044894800055772066,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,83.15963550005108,0.047067200066521764,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,83.69429610006046,0.05110470007639378,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,85.19906899996568,0.04569240007549524,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,86.02732240001205,0.058606699923984706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,Defect,Alex,70,70,0,105,105,0,35,35,,,,,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1.png,89.98718130006455,89.98718130006455,89.98718130006455,89.98718130006455,0.10105639998801053,Cooperate,Defect,Cooperate,Defect,0,105,105,-0.203125,-0.7722222222222223,1,0,0,left_choice,"Yes
0x2","No
0",Z,0,0,-0.203125,-0.7722222222222223,0,0,0,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,97.36807319999207,0.12997329991776496,,,,,,,,,,,,,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,Defect,Alex,88,88,0,132,132,0,44,44,,,,,0,0,0,0,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,88,88,193,0.10833333333333334,-0.7166666666666667,1,0,0,right_choice,"Yes
88x2","No
88",Y,176,176,-0.14895833333333333,-0.29074074074074074,1,0,0,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,117.5545258000493,5.079279400059022,101.77479820000008,101.77479820000008,101.77479820000008,101.77479820000008,101.77479820000008,101.77479820000008,105.72508690005634,105.72508690005634,105.72508690005634,105.72508690005634,105.72508690005634,mult_left,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,Defect,Alex,6,6,0,9,9,0,3,3,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,6,6,199,-0.12395833333333334,-0.7796296296296297,1,0,0,left_choice,"No
6","Yes
6x1.8",Y,10.8,186.8,0.18333333333333332,-0.37222222222222223,1,0,0,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,135.3405302000465,5.0672316999407485,124.50378500006627,124.50378500006627,124.50378500006627,124.50378500006627,124.50378500006627,124.50378500006627,128.43653930001892,128.43653930001892,128.43653930001892,128.43653930001892,128.43653930001892,mult_right,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,Defect,Alex,12,12,0,18,18,0,6,6,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,12,12,211,-0.128125,-0.7537037037037037,1,0,0,left_choice,"Yes
12x1.6","No
12",Y,19.2,206.0,-0.12395833333333334,-0.4222222222222222,1,0,0,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,166.98564760002773,5.080564100062475,156.52918159996625,156.52918159996625,156.52918159996625,156.52918159996625,156.52918159996625,156.52918159996625,160.4810478000436,160.4810478000436,160.4810478000436,160.4810478000436,160.4810478000436,mult_left,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
,,,,,,,,,Defect,Alex,8,8,0,12,12,0,4,4,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,12,0,211,-0.115625,-0.7333333333333333,1,0,0,left_choice,"Yes
12x1.4000000000000001","No
12",N,12,218.0,0.15104166666666666,-0.37222222222222223,1,0,0,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,184.11174870003015,0.13110670004971325,175.97789249999914,175.97789249999914,175.97789249999914,175.97789249999914,175.97789249999914,175.97789249999914,179.9264356000349,179.9264356000349,179.9264356000349,179.9264356000349,179.9264356000349,mult_right,,2022-10-15_16h54.41.188,PD,2022.2.4,59.99127727170455,
