tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,mult_mouse.clicked_name,p_total_text.started,o_total_text.started,participant_avatar_scoreboard.started,p_name_text.started,o_name_text.started,other_avatar_scoreboard.started,name_header.started,total_point_header.started,scoreboard_cont_text.started,scoreabord_mouse.started,scoreboard_intro_text.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,-0.07604166666666666,-0.7944444444444444,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.527036999934353,19.527036999934353,Felix,-0.03333333333333333,-0.8388888888888889,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,0.010416666666666666,-0.5907407407407408,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,28.149787899921648,0.07393830001819879,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,29.18377259990666,0.04847839998546988,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,29.56250519992318,0.03972600004635751,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,29.883842999930494,0.04027110000606626,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,30.273761199903674,0.03848139999900013,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,31.373333199997433,0.05485489999409765,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,33.459556499961764,0.04543930001091212,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,34.07159489998594,0.07277109997812659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,Defect,Kendall,40,40,0,60,60,0,20,20,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar4.png,37.50194439990446,37.50194439990446,37.50194439990446,37.50194439990446,0.11619560001417994,Defect,Cooperate,Cooperate,Defect,0,60,60,0.18125,-0.7666666666666667,1,0,0,right_choice,"Yes
0x2","No
0",Z,0,0,0.18125,-0.7666666666666667,0,0,0,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,58.29052069992758,0.1331048000138253,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,Defect,Kendall,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,21,0,60,-0.13645833333333332,-0.7222222222222222,1,0,0,left_choice,"Yes
21x2","No
21",Y,42,42,-0.11770833333333333,-0.3333333333333333,1,0,0,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,79.83888199995272,5.075848500011489,67.03377259999979,67.03377259999979,67.03377259999979,67.03377259999979,67.03377259999979,67.03377259999979,70.96999689994846,70.96999689994846,70.96999689994846,70.96999689994846,70.96999689994846,mult_left,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,Defect,Kendall,64,64,0,96,96,0,32,32,,,,,0,0,0,0,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,96,156,-0.16875,-0.7703703703703704,1,0,0,left_choice,"Yes
0x1.8","No
0",Z,0,42,-0.16875,-0.7703703703703704,0,0,0,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,92.93411569995806,0.06316290004178882,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,Defect,Kendall,2,2,0,3,3,0,1,1,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,2,2,158,-0.16354166666666667,-0.7148148148148148,1,0,0,left_choice,"Yes
2x1.8","No
2",N,2,44,0.06875,-0.4981481481481482,1,0,0,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,99.24034259992186,0.0817496000090614,94.20658289990388,94.20658289990388,94.20658289990388,94.20658289990388,94.20658289990388,94.20658289990388,98.1617694000015,98.1617694000015,98.1617694000015,98.1617694000015,98.1617694000015,mult_right,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
,,,,,,,,,Defect,Kendall,6,6,0,9,9,0,3,3,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,9,0,158,0.140625,-0.6129629629629629,1,0,0,right_choice,"No
9","Yes
9x2.0",N,9,53,-0.15729166666666666,-0.35185185185185186,1,0,0,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,106.95279799995478,0.06983900000341237,101.20893729990348,101.20893729990348,101.20893729990348,101.20893729990348,101.20893729990348,101.20893729990348,105.16537089995109,105.16537089995109,105.16537089995109,105.16537089995109,105.16537089995109,mult_left,,,,,,,,,,,,,2022-10-15_18h34.25.621,PD,2022.2.4,59.984871811866114,
